ID_CLIENT,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,FL_PRESENCE_FL,OWN_AUTO,GEN_INDUSTRY,GEN_TITLE,JOB_DIR,WORK_TIME,CREDIT,TERM,FST_PAYMENT,FAMILY_INCOME,PERSONAL_INCOME,TARGET,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
106805103,42,1,Среднее,Не состоял в браке,1,0,1,0,1,0,Другие сферы,Работник сферы услуг,Участие в основ. деятельности,3.0,5588.0,6.0,1000.0,от 20000 до 50000 руб.,25000.0,1.0,1.0,0.0
106809308,28,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Торговля,Специалист,Участие в основ. деятельности,5.0,19498.0,12.0,0.0,от 10000 до 20000 руб.,10000.0,0.0,1.0,0.0
106805867,64,0,Среднее специальное,Состою в браке,2,0,1,1,0,1,Другие сферы,Руководитель высшего звена,Участие в основ. деятельности,360.0,15470.0,3.0,15000.0,от 20000 до 50000 руб.,30000.0,0.0,1.0,1.0
106808779,54,1,Среднее специальное,Состою в браке,0,0,1,0,1,1,Государственная служба,Специалист,Участие в основ. деятельности,3.0,13960.0,6.0,2500.0,от 20000 до 50000 руб.,25000.0,0.0,1.0,0.0
106814289,26,0,Среднее специальное,Состою в браке,1,1,1,0,1,0,Другие сферы,Специалист,Участие в основ. деятельности,12.0,11890.0,6.0,8000.0,от 10000 до 20000 руб.,15000.0,0.0,2.0,2.0
106804821,32,0,Среднее специальное,Состою в браке,0,0,1,0,0,0,Строительство,Специалист,Участие в основ. деятельности,96.0,24700.0,12.0,6160.0,от 10000 до 20000 руб.,12000.0,1.0,1.0,0.0
106814344,52,1,Среднее,Состою в браке,1,0,1,0,1,0,Государственная служба,Специалист,"Бухгалтерия, финансы, планир.",217.0,11551.0,6.0,5940.0,от 10000 до 20000 руб.,8000.0,0.0,3.0,3.0
106809579,47,0,Среднее,Состою в браке,2,0,1,0,0,0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,10.0,29990.0,6.0,10000.0,от 10000 до 20000 руб.,10000.0,0.0,1.0,0.0
106813445,23,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,Другие сферы,Рабочий,Участие в основ. деятельности,18.0,7431.0,6.0,1000.0,от 5000 до 10000 руб.,7000.0,0.0,1.0,1.0
106812816,42,1,Среднее специальное,Состою в браке,2,1,1,0,0,0,Образование,Специалист,Участие в основ. деятельности,239.0,13190.0,12.0,0.0,от 20000 до 50000 руб.,9000.0,0.0,1.0,0.0
106806676,31,1,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,Торговля,Специалист,Участие в основ. деятельности,8.0,21220.0,12.0,2400.0,от 10000 до 20000 руб.,12000.0,0.0,1.0,0.0
106813305,25,1,Высшее,Состою в браке,0,0,1,0,0,0,Другие сферы,Высококвалифиц. специалист,Участие в основ. деятельности,36.0,6245.0,4.0,695.0,от 10000 до 20000 руб.,4900.0,0.0,1.0,1.0
106811087,37,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,18.0,19660.0,6.0,7000.0,от 20000 до 50000 руб.,20000.0,0.0,1.0,0.0
106818497,46,1,Среднее,Не состоял в браке,2,0,1,0,0,0,Здравоохранение,Специалист,Участие в основ. деятельности,48.0,5835.0,6.0,1030.0,от 5000 до 10000 руб.,55000.0,0.0,2.0,2.0
106805396,28,1,Среднее,Не состоял в браке,1,1,1,0,0,0,Наука,Специалист,Участие в основ. деятельности,60.0,9341.5,6.0,1648.5,от 10000 до 20000 руб.,8500.0,0.0,1.0,0.0
106807246,50,0,Среднее специальное,Состою в браке,1,0,1,0,1,1,Здравоохранение,Служащий,Участие в основ. деятельности,216.0,29742.0,12.0,5248.91,от 20000 до 50000 руб.,20000.0,0.0,1.0,0.0
106809151,30,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,Государственная служба,Служащий,Участие в основ. деятельности,3.0,9054.0,9.0,0.0,от 10000 до 20000 руб.,5000.0,1.0,1.0,0.0
106809097,41,1,Среднее,Состою в браке,0,0,1,0,0,0,Ресторанный бизнес/Общественное питание,Специалист,Участие в основ. деятельности,30.0,16100.0,5.0,2000.0,от 10000 до 20000 руб.,6500.0,0.0,1.0,0.0
106811950,27,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,Торговля,Специалист,Участие в основ. деятельности,18.0,8090.0,10.0,900.0,от 5000 до 10000 руб.,7000.0,0.0,1.0,1.0
